 ID,P.Value,logFC
MIMAT0003880,0.22081,0.36057
MIMAT0004482,0.22084,0.36004
MIMAT0027661,0.22256,0.35372
MIMAT0009451,0.22422,0.37072
MIMAT0019826,0.2246,0.32214
MIMAT0027433,0.22592,0.29923
MIMAT0018985,0.22625,0.3125
MIMAT0019740,0.22642,0.2653
MIMAT0016852,0.22642,0.31095
MIMAT0027399,0.22644,0.36194
MIMAT0027655,0.22833,0.34857
MIMAT0027372,0.2285,0.39888
MIMAT0022709,0.22927,0.3235
MIMAT0015036,0.23058,0.33093
MIMAT0003239,0.23104,0.3701
MIMAT0027470,0.23187,0.25208
MIMAT0019018,0.23237,0.42332
MIMAT0004808,0.23433,0.28503
MIMAT0025848,0.23437,0.35571
MIMAT0018958,0.23457,0.34163
MIMAT0019774,0.23651,0.32539
MIMAT0018200,0.23653,0.32538
MIMAT0027526,0.23666,0.3023
MIMAT0027409,0.23721,0.33957
MIMAT0027485,0.23748,0.33583
MIMAT0013802,0.2378,0.29333
MIMAT0016909,0.23902,0.37096
MIMAT0011161,0.24063,0.30838
MIMAT0018002,0.24065,0.27834
MIMAT0005865,0.24156,0.36899
MIMAT0019792,0.24189,0.30896
MIMAT0019923,0.24246,0.34772
MIMAT0022491,0.24311,0.31768
MIMAT0007888,0.24334,0.29485
MIMAT0005592,0.24344,0.32618
MIMAT0027405,0.24462,0.31565
MIMAT0022948,0.24522,0.31512
MIMAT0020956,0.24532,0.30171
MIMAT0019904,0.24615,0.33686
MIMAT0019216,0.2462,0.3167
MIMAT0002173,0.24662,0.38262
MIMAT0027088,0.24799,0.32369
MIMAT0005584,0.24811,0.34864
MIMAT0019850,0.25107,0.33443
MIMAT0005901,0.25224,0.27923
MIMAT0004595,0.25313,0.27724
MIMAT0028116,0.25346,0.3188
MIMAT0027539,0.2536,0.32244
MIMAT0027026,0.25401,0.32719
MIMAT0027421,0.25406,0.33207
MIMAT0027452,0.25524,0.34552
MIMAT0022726,0.25667,0.33228
MIMAT0018099,0.25709,0.28421
MIMAT0027651,0.25758,0.32017
MIMAT0027396,0.25795,0.31151
MIMAT0027685,0.25949,0.32992
MIMAT0007892,0.25955,0.29061
MIMAT0028126,0.2602,0.32254
MIMAT0007884,0.26022,0.33846
MIMAT0027455,0.26034,0.3013
MIMAT0027413,0.26077,0.34095
MIMAT0027603,0.26094,0.29908
MIMAT0005866,0.26387,0.27288
MIMAT0027419,0.2644,0.32359
MIMAT0027364,0.26479,0.32406
MIMAT0027669,0.26528,0.34729
MIMAT0019209,0.26697,0.32678
MIMAT0016906,0.26872,0.29386
MIMAT0023711,0.26914,0.30704
MIMAT0000227,0.26916,0.31636
MIMAT0016873,0.26916,0.29749
MIMAT0019836,0.26926,0.2609
MIMAT0027602,0.26932,0.30631
MIMAT0019772,0.26974,0.31475
MIMAT0019789,0.2709,0.329
MIMAT0019899,0.2724,0.3051
MIMAT0027384,0.27267,0.33141
MIMAT0019022,0.27337,0.25298
MIMAT0018993,0.27385,0.25725
MIMAT0030019,0.27463,0.23866
MIMAT0019006,0.27498,0.30067
MIMAT0023252,0.27562,0.2398
MIMAT0028110,0.27656,0.29893
